algoritmo,cenario,n,mediana_s,razao
insertion,aleatoria,1000,0.018461399999978312,
insertion,ordenada,1000,9.550000004310277e-05,
merge,aleatoria,1000,0.0018987999999353633,
merge,ordenada,1000,0.0013399000001754757,
insertion,aleatoria,2000,0.08492210000008527,4.6
insertion,ordenada,2000,0.0001978999998755171,2.07
merge,aleatoria,2000,0.004147999999986496,2.18
merge,ordenada,2000,0.002815699999928256,2.1
insertion,aleatoria,4000,0.396583899999996,4.67
insertion,ordenada,4000,0.00039409999999406864,1.99
merge,aleatoria,4000,0.008868599999914295,2.14
merge,ordenada,4000,0.005995500000153697,2.13
insertion,aleatoria,8000,1.4339153000000806,3.62
insertion,ordenada,8000,0.0018448000000717002,4.68
merge,aleatoria,8000,0.023471900000004098,2.65
merge,ordenada,8000,0.01630410000007032,2.72
insertion,aleatoria,16000,6.409346099999993,4.47
insertion,ordenada,16000,0.004213100000015402,2.28
merge,aleatoria,16000,0.07090360000006513,3.02
merge,ordenada,16000,0.04166860000009365,2.56
